,Country,Days,CumConfirmed,CumConfirmed_per_million,CumDeaths,CumRecovered,smoothed_cumulative_testing_count,SmoothedCumTesting_per_thousand,Population,Pop_Density,Land_Area_Kmsq,HealthCapacityScore,RecoveryRate,FatalityRate,Active,Population Interval,Health Capacity Score Interval
0,Afghanistan,215,0.05181700274555483,0.22752423650900694,0.06908615944395204,0.05292666830320313,0.0,0.0,0.2702333733202988,0.02202392253654832,0.3986470185479288,5.574412532637076,8.299999999999999,1.3793103448275863,0.011615604995565893,10-50m,35 to 50
1,Albania,219,0.02067005013002191,1.2306650669660324,0.02024537015440593,0.015490499969295107,0.0,0.0,0.019758813764158813,0.03911144864249098,0.016730304186960282,1.3446475195822456,6.1,1.0344827586206897,0.012966780450653047,1-10m,10 to 20
2,Algeria,225,0.06942535109802757,0.2707387850322094,0.08522647758548303,0.05966905043489079,0.0,0.0,0.30443564339884577,0.006075564837668502,1.4543311056588413,0.9138381201044388,7.0,1.0344827586206897,0.03187197702641413,10-50m, less than 10
3,Andorra,213,0.0041306412470701334,9.168717851932218,0.0027522507813593318,0.003191087424529037,0.0,0.0,0.0003010790366550526,0.06151509398139358,0.00028637952712450715,2.036553524804178,6.3,0.6896551724137931,0.0025199422237375405,< 1m,10 to 20
4,Angola,194,0.008867662702304893,0.045614634891701,0.010589168260484208,0.0044446722407289075,0.0,0.0,0.22811486591152877,0.009113347256502754,0.7612560129778165,0.2872062663185379,4.1,1.0344827586206897,0.008595727853446106,10-50m, less than 10
5,Antigua and Barbuda,196,0.00014252526260279631,0.25335588107261264,0.0001399449549843728,0.00015868162230378105,0.0,0.0,0.0004446498404913014,0.08391873932029618,0.0002680610072657967,1.174934725848564,8.9,1.0344827586206897,1.8015672734495375e-05,< 1m, less than 10
6,Argentina,215,1.1095811959942625,4.207534937263997,1.0593833092317022,1.0867215694501065,0.17374670950822615,0.3249303924090573,0.3137786538054814,0.00569584203531422,1.6710697264538172,5.939947780678851,8.0,1.0344827586206897,0.33512304028889933,10-50m,35 to 50
7,Armenia,215,0.07595559949364661,4.3931458471913425,0.04846760274292111,0.07412494622676524,0.0,0.0,0.020352481539255216,0.0387317258401367,0.01738366472858762,2.284595300261097,8.0,0.6896551724137931,0.024481047287087405,1-10m,10 to 20
8,Australia,256,0.035417527756794895,0.23744490301991272,0.04217007976862434,0.039743399122205,0.6651089417567283,2.2045814656762044,0.17693415324555423,0.0003797228023542813,4.690944893068389,8.590078328981724,9.200000000000001,1.0344827586206897,0.0031212153012513235,10-50m,>=65
9,Austria,227,0.0742738013949336,1.4129706914068612,0.040164202080514994,0.07132580240932655,0.15216268376105602,1.4280012768843187,0.06233954217887224,0.0406303398519081,0.05031975281722044,4.112271540469974,7.800000000000001,0.6896551724137931,0.025931308942214282,1-10m,20 to 35
10,Azerbaijan,219,0.05538790841585762,0.9357606099166544,0.02873536409012455,0.06279031794560616,0.0,0.0,0.07020994440490894,0.04594645908486804,0.05047179653204774,2.741514360313316,9.3,0.3448275862068966,0.005771771152313956,10-50m,20 to 35
11,Bahamas,202,0.006723305342235547,2.9310584712587175,0.005084666697765545,0.004884220334510381,0.0,0.0,0.002496460329017329,0.014049743687108412,0.006111668842194439,1.6710182767624024,5.8999999999999995,0.6896551724137931,0.00451067406089928,< 1m,10 to 20
12,Bahrain,233,0.09927402813966957,10.0,0.013388067360171665,0.11514097195984657,0.1293460228026378,6.425006239226027,0.011586575183541297,0.8494399088665274,0.0004634585524253751,0.9007832898172325,9.5,0.0,0.008494389694314571,1-10m, less than 10
13,Bangladesh,210,0.4920179374521406,0.51144749334188,0.2591314083127303,0.4671444147163241,0.1721700945853469,0.08836162194986037,1.1440048199603603,0.4795898993734573,0.07948344704961616,3.511749347258486,7.800000000000001,0.3448275862068966,0.17968606789476504,100-500m,20 to 35
14,Barbados,207,0.00027598073576723294,0.16551117756213468,0.0003265382282968699,0.00030466871482325963,0.0,0.0,0.0017608961869664272,0.25289538636795134,0.00026195483397955984,2.3237597911227157,8.9,1.0344827586206897,3.377938637717883e-05,< 1m,10 to 20
15,Belarus,201,0.10099080971193052,1.831349258211645,0.038344917665718146,0.11768939881404529,0.1509043119382902,1.3498096404208282,0.06541692788779456,0.017087526105942663,0.12389975153370282,8.172323759791123,9.5,0.3448275862068966,0.0066567910753960405,1-10m,50 to 65
16,Belgium,223,0.21023253644435747,3.1086930463459197,0.4753930120819144,0.032167938473422496,0.30828121669500996,2.2482744544106668,0.08028745592935105,0.1446743876969812,0.018488882093396487,6.697127937336815,1.2,2.0689655172413794,0.29679469654626045,10-50m,50 to 65
17,Belize,188,0.003390805565741073,1.4621700156264406,0.0018659327331249707,0.0025325586919683458,0.0,0.0,0.0025269197949492933,0.00569584203531422,0.013927570648577577,2.83289817232376,6.1,0.6896551724137931,0.0022114238281593073,< 1m,20 to 35
18,Benin,197,0.0032081140927683978,0.04474910792592817,0.001912581051453095,0.0036972817996780987,0.0,0.0,0.08399468002916397,0.04025061704955382,0.06885259935827784,0.1305483028720627,9.399999999999999,0.6896551724137931,0.00023870766373206373,10-50m, less than 10
19,Bhutan,157,0.0004068448405207096,0.09030732054657688,0.0,0.0004696976020191919,0.0,0.0,0.005125284546143657,0.0068350104423770645,0.023274290097820286,2.7545691906005225,9.399999999999999,0.0,4.2787222744426516e-05,< 1m,20 to 35
