,Country,Days,Cumulative Confirmed Count,Cumulative Confirmed per million,Cumulative Death Count,Cumulative Recovered Count,Cumulative Testing Count,Cumulative Testing per thousand,Population,Population_Density,Land_Area_Kmsq,Health Capacity Score,Recovery Rate,Fatality Rate,Active,Risk.of.Transmission.from.P2P,Risk.due2.lack.of.sanitation.and.water.services,Risk.based.on.Pop.Dist.,Vul.Index,Hazard.Ind.Vul.Risk.Index,INFORM.Socio.Eco.Vul.Risk.Index,Vul.related2.Dev.and.Deprivation,Vul.due2.Eco.and.Gender.Inequality,Vul.based.on.Eco.Dependency.Index,INFORM.Vulnerable.Groups.Risk.Index,Vul.associated.with.Uprooted.people,Vul.due2.other.Health.Condns,Vul.due2.lack.of.Food.Security,Vul.due2.Gender.Based.Violence,Covid19.Overall.Vul.Index,Vul.related2.Intl.and.Int.Movements,Vul.due2.lackof.authntic.info.nd.trust.on.politicians,Vul.due2.1plus.underlying.condns.plus.0.condns.65plus.yrs.pop,Lack.of.Coping.Capacity.Index,Hazard.Independent.Lack.of.Coping.Capacity.Index,INFORM.Risk.Index.related2.Institutional.Strength,Risk.based.on.Corruption.Perception.Index,Risk.based.on.Govt.Effectiveness,INFORM.Risk.Index.based.on.ltd.opl.Infra,Risk.associated2.Immunization.coverage,Risk.based.on.pc.public.and.pvt.exp.on.healthcare,Risk.based.on.Maternal.Mortality.ratio,Covid19.Overall.Lack.of.coping.capacity.Index,Lack.based.on.IHR.core.capacity.scores,Lack.based.on.Opl.readiness.index,INFORM COVID-19 RISK,COVID-19 RISK CLASS
60,France,87,0.2954359067371325,0.6350833549380603,1.421986515839657,0.1802659935466203,0.10626523172539382,0.1848756204539717,0.45327617801680525,0.044427567875450914,0.33434718199186914,6.775456919060053,3.03030303030303,5.172413793103448,0.26232268892756666,2.8,0.1,4.2,4.9,1.8,0.5,0.2,1.3,0.2,2.9,7.1,0.3,0.8,0.8,7.0,7.5,5.3,7.6,2.0,1.8,2.6,3.1,2.0,0.9,1.6333333333333335,0,0.1,2.15,1.8,2.5,3.0,Low
61,Gabon,152,0.014788695707776208,0.9344046810953069,0.0029902112894580946,0.02516846094528635,0.0,0.0,0.01522836423541917,0.0026580596164799694,0.15733715644913568,1.8276762402088775,8.585858585858585,0.3448275862068966,0.003569093009886162,5.0,4.1,5.5,3.7,4.5,4.3,5.5,5.2,0.8,4.6,1.3,6.3,2.8,6.550000000000001,2.7,1.7,5.8,1.6,6.6,6.4,6.8,6.9,6.6,6,4.1,8.3,2.8,6.75,6,7.5,5.0,High
62,Gambia,133,0.0050143574749033845,0.2924651433797763,0.005416231769584473,0.0026299588381675314,0.0,0.0,0.016554949013761713,0.08999430415796468,0.006178836748343045,2.545691906005222,2.6262626262626263,1.0344827586206897,0.005780010594333048,6.9,6.6,7.0,3.9,5.4,7.1,8.9,5.5,5.0,3.1,2.9,2.3,2.9,4.3,2.1,3.4,5.1,0,6.9,6.7,6.3,6.3,6.2,7.1,2.6666666666666665,9.9,6.6,7,6.5,7.5,5.7,High
63,Georgia,175,0.002517632575133909,0.08900511855986985,0.0010719625377302604,0.004188323262913938,0.0,0.0,0.027480469022554663,0.020884754129485476,0.042431187548731084,2.3237597911227157,8.282828282828282,0.3448275862068966,0.0006946177851518955,3.1,0.7,4.3,5.3,3.7,2.9,2.3,4,3.0,4.4,8.7,1,2.8,1,6.6,6.1,4.3,8,4.0,3.7,4.1,4.4,3.8,3.3,2.033333333333333,7.5,0.3,4.2,3.4,5,4.0,Medium
64,Germany,203,0.40742786982672236,0.6823615237674435,0.5231177184123671,0.7270242803683202,1.441323390335276,1.9535569322353843,0.5818842625128089,0.09037402696031897,0.2128361654477422,10.0,8.98989898989899,1.3793103448275863,0.04795121637174589,2.2,0.1,3.3,5.6,2.1,0.4,0.0,1.4,0.1,3.6,8.2,0.1,0.8,1.65,7.8,8.7,4.1,9.2,0.8,1.2,1.9,2,1.8,0.4,1.4000000000000001,0,0.1,0.45,0.9,0,2.1,Low
65,Ghana,158,0.07576941552070827,0.3419360406870241,0.014725380123557787,0.14544267705296127,0.05691316513886208,0.20799640182621748,0.21565502673299275,0.05126257831782798,0.13893925633770413,0.2349869451697128,9.595959595959595,0.3448275862068966,0.004831264351198752,5.5,6.0,5.3,3.5,4.4,5.3,7.1,5.9,1.2,3.4,3.5,4.7,1.1,3.75,2.5,3.7,4.8,0.8,5.5,5.8,5.7,5.9,5.4,5.8,0.9,9.5,3.4,5.15,5.3,5,4.7,Medium
66,Greece,175,0.01613898307506256,0.21719366558938635,0.013991932071426556,0.004717116584569461,0.11564819857351191,1.2599964207154644,0.07218228514632506,0.029998101385988227,0.07870796304226407,6.357702349869453,1.515151515151515,1.0344827586206897,0.02169692301263075,2.2,0.1,3.3,5.6,2.1,1.5,0.6,2.2,2.5,2.7,6.6,0.2,1.1,0.8500000000000001,7.7,7.7,5.6,8.8,2.9,3.3,4.8,5.2,4.3,1.5,1.0666666666666667,2.5,0,2.5,2.5,2.5,3.3,Low
67,Grenada,121,1.219614396258641e-05,0.05151506218626185,0.0,8.054467813296036e-05,0.0,0.0,0.0005460470680941961,0.12492880197455858,0.0002069992744034284,3.5639686684073113,9.696969696969695,0.0,0.0,2.7,0.8,3.6,3.7,2.3,2.2,2.7,2.2,1.2,2.4,0.0,0.1,5.7,2.4,4.8,5.8,3.9,4.8,4.8,4.5,5.1,4.7,5.5,3.9,1.95,7.6,0.3,5,5,5,3.6,Medium
68,Guatemala,163,0.1283417652245772,1.0057022893952505,0.15391125278569212,0.2141893108107067,0.0,0.0,0.12423930497473913,0.06265426238845642,0.06543314231798521,0.39164490861618806,8.383838383838382,1.3793103448275863,0.027635057980819513,4.6,2.4,5.7,4.1,4.6,5.4,6.7,6.2,1.9,3.8,7.0,1.1,4.0,1.55,3.6,3.9,7.2,1.6,5.9,6.2,6.9,7.4,6.4,5.4,2.8333333333333335,8.6,1.1,5.65,3.8,7.5,4.8,Medium
69,Guinea,153,0.016088456192931845,0.17169882277610024,0.003328725775057124,0.029003088012920765,0.0,0.0,0.09100921572888608,0.01936586292006835,0.15004027937208267,0.026109660574412524,9.09090909090909,0.3448275862068966,0.002566697425622248,6.9,7.8,6.5,4.7,6.1,5.5,9.1,2.2,1.5,6.7,2.7,5.4,4.0,10,2.9,3.9,7.7,0,6.7,8.0,7.0,7.1,6.9,8.8,9.2,9.8,6.4,4.75,4.5,5,6.0,High
