,Country,P2P,P2P_1,P2P_2,Vul,Vul_HI,Vul_1,Vul_11,Vul_12,Vul_13,Vul_2,Vul_21,Vul_22,Vul_23,Vul_24,Vul_3/Vul_HD,Vul_31,Vul_32,Vul_33,LOCC,LOCC_HI,LOCC_1,LOCC_11,LOCC_12,LOCC_2,LOCC_22,LOCC_23,LOCC_24,LOCC_3/LOCC_HD,LOCC_31,LOCC_32,INFORM COVID-19 RISK,COVID-19 RISK CLASS
109,Mauritania,6.3,6.3,6.3,4.1,5.4,6.6,8.3,5.1,4.5,3.8,6.6,1.5,2.7,3.3,2.4,3.5,6.0,0,7.4,7.4,6.9,7.2,6.5,7.8,3.4000000000000004,9.6,8.5,7.45,7.4,7.5,5.8,High
110,Mauritius,3.0,0.3,4.3,5.0,1.6,2.3,2.1,3.8,1.1,0.9,0.0,0.7,2.0,0.9,7.2,6.4,4.6,8.8,3.4,3.7,4.0,4.8,3.2,3.4,1.3333333333333333,6.1,0.7,3.15,3.8,2.5,3.7,Medium
111,Mexico,3.3,0.8,4.6,4.2,3.1,3.3,4.1,4.6,0.4,2.8,6.4,0.9,1.2,1.2,5.2,5.2,6.6,4.4,3.6,5.0,6.2,7.1,5.3,3.6,0.6333333333333333,6.9,0.4,1.95,1.4,2.5,3.7,Medium
112,Micronesia,3.6,2.5,4.2,5.2,4.9,5.6,5.7,3.8,7.3,4.2,0.0,5,5.0,5.7,5.5,5.4,6.1,5.2,6.5,5.3,5.3,5.3,5.3,5.3,6.066666666666666,8.7,1,7.5,7.5,7.5,5.0,High
113,Moldova,3.8,1.9,4.7,4.8,2.2,2.5,2.9,1.6,2.5,1.9,1.0,1.1,3.0,2.2,6.6,5.4,6.4,7.2,4.8,5.0,6.4,6.8,5.9,3.3,2.233333333333333,8.5,0.2,4.5,4,5,4.4,Medium
114,Mongolia,3.8,3.4,4.0,3.3,3.1,3.9,4.8,3.1,2.7,2.3,0.0,2.6,3.9,2.1,3.5,4.5,5.5,2,4.1,4.9,6.0,6.5,5.5,3.6,3.4,8.6,0.5,3.2,1.4,5,3.7,Medium
115,Montenegro,2.7,0.4,3.9,3.9,1.2,1.6,1.3,1.7,2.0,0.7,1.8,0.2,0.6,0.3,5.9,5.1,4.0,7.2,4.7,4.2,5.1,5.5,4.7,3.2,2.35,5.6,0.1,5.15,5.3,5,3.7,Medium
116,Morocco,4.1,1.8,5.2,4.2,3.2,4.6,6.0,5.1,1.1,1.5,2.6,0.5,0.0,2.7,5.0,5.1,5.9,4.4,4.5,5.1,5.7,5.9,5.4,4.5,0,8.6,0.8,3.75,2.5,5,4.3,Medium
117,Mozambique,6.9,8.0,6.4,5.7,7.2,7.7,9.4,7.5,4.5,6.6,4.8,9.3,6.8,3.05,3.5,3.2,7.5,1.6,6.1,7.1,7.1,7.4,6.7,7,5.199999999999999,10,3.2,4.85,4.7,5,6.2,High
118,Namibia,5.1,5.2,5.0,4.4,5.2,5.6,7.0,7.3,1.1,4.8,2.8,5.9,5.9,3.9000000000000004,3.6,3.4,5.3,2.8,5.8,5.1,4.8,4.8,4.8,5.4,5.766666666666667,6.9,2.2,6.4,5.3,7.5,5.1,High
119,Nauru,4.9,2.0,6.4,4.7,4.3,4.3,2.8,4.3,7.2,4.3,5.3,2.3,5.0,4.3,5.1,3.5,6.7,5.1,6.0,4.7,5.2,5.2,5.2,4.2,1.4,5.9,4.2,7.05,6.6,7.5,5.2,High
120,Nepal,5.1,3.8,5.7,4.1,4.7,5.9,7.3,4.2,4.6,3.2,3.7,2.3,2.7,3.8,3.4,4.5,5.9,1.6,6.4,6.4,6.7,6.6,6.8,6.1,3.8333333333333335,9.6,2.1,6.35,7.7,5,5.1,High
121,Netherlands,3.5,0.2,5.2,4.5,1.4,0.2,0.0,0.7,0.1,2.5,6.0,0.1,1.6,1,6.6,7.2,2.5,8.4,0.9,1.3,1.6,1.8,1.3,1,1.0999999999999999,0,0.1,0.55,1.1,0,2.4,Low
122,New Zealand,3.1,0.0,4.7,3.2,0.8,0.5,0.0,1.8,0.1,1.1,1.8,0.1,1.4,0.9,5.1,5.8,3.5,5.6,1.0,1.5,1.5,1.3,1.7,1.4,1.0333333333333332,0,0.1,0.5,1,0,2.1,Low
123,Nicaragua,4.3,3.0,5.0,4.0,3.7,5.0,6.0,5.7,2.3,2.1,0.9,1,4.3,1.55,4.2,5.3,7.3,2,5.6,6.1,7.2,7.8,6.6,4.7,0.9666666666666668,8.5,1.1,5.1,2.7,7.5,4.6,Medium
124,Niger,7.1,9.0,6.2,5.3,7.0,7.7,10.0,5.5,5.4,6.2,7.7,4.5,3.7,7.5,2.9,3.2,8.5,0,6.3,7.2,6.7,6.8,6.5,7.7,5.433333333333334,10,5.7,5.3,5.6,5,6.2,High
125,Nigeria,6.5,5.8,6.9,4.4,5.7,5.7,8.3,4.5,1.6,5.6,7.9,6.1,3.7,3.3,2.7,4.0,6.7,0,7.2,8.7,7.2,7.4,7.0,9.6,9.85,9.4,10,4.9,4.8,5,5.9,High
126,North Macedonia,2.5,0.6,3.5,4.5,1.8,2.4,3.2,2.3,1.0,1.2,1.2,0.1,2.0,1.6,6.4,6.6,4.7,7.2,4.4,4.4,5.7,6.5,4.8,2.9,0.85,7,0.1,4.35,3.7,5,3.7,Medium
127,Norway,2.0,0.1,3.0,4.1,1.4,0.2,0.0,0.6,0.0,2.4,5.9,0.2,1.0,1.1,6.1,5.6,4.4,7.2,0.8,1.2,1.4,1.6,1.2,0.9,0.9,0,0,0.4,0.8,0,1.9,Very Low
128,Oman,5.0,0.5,7.2,2.2,1.4,1.7,1.3,4.1,0.0,1.1,1.0,0.1,2.3,0.9,3.0,4.8,3.0,2,2.4,3.4,4.7,4.8,4.6,1.9,0,0.6,0.2,1.25,0,2.5,3.0,Low
129,Pakistan,5.3,3.3,6.3,4.4,5.3,5.3,7.8,4.7,1.0,5.3,7.6,1.8,5.3,5.2,3.4,5.1,6.1,1.2,6.4,6.5,6.6,6.8,6.3,6.4,5.8,9.7,1.6,6.2,4.9,7.5,5.3,High
130,Palau,3.5,0.0,5.3,3.3,2.8,3.4,1.7,3.4,6.8,2.2,0.0,1,5.0,2,3.7,4.4,2.9,3.7,5.2,4.5,5.0,5.0,5.0,3.9,0.9,3.8,3.9,5.75,4,7.5,3.9,Medium
131,Palestine,5.1,0.4,7.4,4.1,5.2,4.2,3.2,2.2,8.2,6.1,10.0,0,2.8,4.8,2.9,4.9,5.1,0.8,6.0,4.0,6.5,6.5,6.5,0.2,0,0.2,0.3,7.5,7.5,7.5,5.0,High
132,Panama,3.6,1.3,4.7,3.4,2.6,2.7,2.1,6.2,0.3,2.5,4.2,1,2.9,1.35,4.2,5.1,5.4,3.2,4.3,4.6,5.7,6.4,5.0,3.3,1.8666666666666665,4.2,0.6,3.95,2.9,5,3.7,Medium
133,Papua New Guinea,5.6,9.8,3.5,4.8,5.3,5.8,7.1,7.1,1.7,4.7,4.3,5.7,3.9,4.7,4.2,2.0,6.6,4,6.8,6.6,6.8,7.2,6.4,6.4,7.800000000000001,9.9,1.6,6.95,6.4,7.5,5.7,High
134,Paraguay,2.5,1.1,3.2,3.4,3.0,3.7,4.1,6.2,0.4,2.2,0.9,1.3,3.5,2.8,3.7,4.3,6.4,2,5.7,5.7,6.6,7.2,6.0,4.6,1.7,7.6,1.4,5.65,3.8,7.5,3.6,Medium
135,Peru,4.0,2.2,4.9,3.8,3.8,3.8,4.9,4.9,0.4,3.8,6.9,0.9,3.0,3.05,3.8,4.8,5.7,2.4,5.1,5.5,6.0,6.4,5.5,5,3.8333333333333335,7.9,1,4.75,4.5,5,4.3,Medium
136,Philippines,4.5,2.0,5.7,4.1,3.9,3.8,4.5,4.8,1.3,3.9,6.2,3.9,3.4,1.25,4.3,6.3,5.2,2.8,5.5,5.9,5.8,6.6,4.9,5.9,3.8333333333333335,9,1.3,5,5,5,4.7,Medium
137,Poland,2.0,0.1,3.0,5.2,1.1,0.8,0.6,1.6,0.2,1.3,3.3,0.2,0.8,0.7,7.6,8.0,4.7,8.8,2.8,3.0,4.0,4.2,3.7,1.9,0.6,4.1,0,2.5,2.5,2.5,3.1,Low
138,Portugal,2.2,0.0,3.3,5.6,1.0,1.0,1.0,1.9,0.1,0.9,1.7,0.3,0.8,0.6000000000000001,8.1,7.9,4.6,10,1.7,2.3,3.2,3.8,2.6,1.3,0.4666666666666666,0.8,0.1,1.15,2.3,0,2.8,Low
139,Qatar,5.0,0.1,7.4,2.3,1.0,1.2,1.0,2.7,0.1,0.8,0.9,0.3,1.0,0.8,3.4,6.5,2.1,2.4,3.2,3.2,3.8,3.8,3.7,2.5,0.5,0,0.1,3.15,1.3,5,3.3,Low
140,Romania,2.4,0.9,3.1,5.6,1.6,1.9,1.7,3.5,0.5,1.2,2.5,0.5,0.4,1.15,7.9,7.5,6.3,8.8,3.7,4.6,5.6,5.6,5.5,3.3,3.5,6.3,0.2,2.65,2.8,2.5,3.7,Medium
141,Russia,2.3,0.8,3.1,4.8,2.1,1.6,1.5,3.3,0.1,2.6,4.6,1.8,0.8,2.8,6.7,6.2,3.7,8.4,3.0,4.4,6.2,7.2,5.1,1.9,1.8333333333333333,5.7,0.2,1.25,0,2.5,3.2,Low
142,Rwanda,5.9,6.7,5.5,4.6,6.4,6.3,8.2,5.1,3.7,6.5,6.6,5.1,8.4,4.8,2.2,4.5,4.1,0,4.6,5.1,4.7,4.7,4.6,5.4,0.36666666666666664,9.7,2.8,4.15,3.3,5,5.0,High
143,Saint Kitts and Nevis,2.9,0.6,4.1,2.9,1.7,1.8,2.5,1.8,0.5,1.6,0.9,0,3.5,1.6,3.9,4.7,3.1,3.9,4.3,3.5,3.9,3.9,3.9,3.1,0.5,5.2,3.1,5.1,5.2,5,3.3,Low
144,Saint Lucia,2.5,1.0,3.3,4.8,2.9,3.1,3.2,5.5,0.6,2.7,0.0,0.8,6.0,2.7,6.2,7.6,6.1,5.6,4.8,5.0,4.6,4.5,4.6,5.4,3.8000000000000003,7.9,1.3,4.5,4,5,3.9,Medium
145,Saint Vincent and the Grenadines,3.8,1.1,5.2,3.9,1.8,2.7,3.4,2.7,1.4,0.7,0.0,0,2.1,0.7,5.6,4.9,6.3,5.6,4.8,4.3,4.4,4.1,4.6,4.1,0,8.8,0.8,5.25,5.5,5,4.1,Medium
146,Samoa,1.8,0.3,2.6,3.8,3.9,5.2,3.9,4.2,8.6,2.2,0.0,1.9,1.3,4.8,3.7,4.6,3.1,3.6,5.2,5.2,3.8,3.8,3.8,6.4,6.949999999999999,9,0.5,5.1,2.7,7.5,3.3,Low
147,Sao Tome and Principe,6.4,4.9,7.1,3.4,4.4,5.4,6.6,4.4,3.8,3.2,0.0,3.5,2.5,5.8,2.2,3.0,5.1,0.4,6.2,5.5,5.9,5.4,6.3,5.1,1.7666666666666666,9.5,1.4,6.8,6.1,7.5,5.1,High
148,Saudi Arabia,3.1,0.0,4.6,2.3,1.2,1.2,0.9,3,0.0,1.1,1.5,0.1,1.7,1.1,3.2,5.2,2.9,2.4,3.0,3.2,4.6,4.7,4.4,1.5,0.3,0,0.2,2.8,3.1,2.5,2.8,Low
149,Senegal,6.1,5.5,6.4,3.9,5.3,6.3,8.5,5.4,2.6,4.0,4.5,3.2,3.5,4.75,2.1,2.3,6.1,0,5.6,5.9,5.5,5.5,5.5,6.3,2.3666666666666667,9.7,3.5,5.25,5.5,5,5.1,High
150,Serbia,2.3,1.0,2.9,5.2,1.9,1.5,1.3,1.6,1.8,2.2,4.7,0.2,2.8,0.4,7.3,5.4,6.1,8.8,4.1,4.1,5.5,6.1,4.8,2.4,1.0499999999999998,5.7,0.1,4.05,3.1,5,3.7,Medium
151,Seychelles,3.8,0.3,5.6,3.9,2.1,2.7,2.0,5.5,1.1,1.5,0.0,0.2,3.7,1.5,5.3,6.6,4.1,5.2,4.4,3.6,3.7,3.4,4.0,3.4,0.15,6.4,0.6,5.1,5.2,5,4.0,Medium
152,Sierra Leone,7.1,8.0,6.7,4.8,6.3,6.9,9.2,5.5,3.7,5.7,0.9,7,6.1,7.05,2.8,4.0,6.2,0.4,6.7,7.6,7.0,6.7,7.3,8.1,3.5,9.3,10,5.6,6.2,5,6.1,High
153,Singapore,4.0,0.0,6.0,3.9,1.2,0.2,0.0,0.9,0.0,2.1,0.0,0.4,1.7,5.1,5.8,8.0,1.4,6.8,0.9,1.4,1.0,1.5,0.5,1.8,1.5666666666666667,0,0.1,0.45,0.9,0,2.4,Low
154,Slovakia,2.5,0.1,3.7,5.0,1.1,0.9,0.9,1.5,0.4,1.2,1.1,0.1,2.3,1.05,7.4,6.3,7.2,8,3.0,3.1,4.3,5,3.6,1.7,0.43333333333333335,2.8,0.1,2.8,3.1,2.5,3.3,Low
155,Slovenia,2.0,0.1,3.0,5.2,0.7,0.2,0.0,0.5,0.2,1.1,1.4,0.1,1.6,1.05,7.8,6.5,6.1,9.2,1.8,2.6,3.4,4,2.7,1.8,3.033333333333333,0.8,0.1,0.9,1.8,0,2.7,Low
156,Solomon Islands,5.7,6.4,5.4,4.6,5.7,5.9,6.9,3,6.7,5.4,0.0,4.8,2.8,9.3,3.3,2.4,5.2,2.8,6.6,6.0,6.5,5.8,7.1,5.5,1.9500000000000002,9.8,1.2,7.05,6.6,7.5,5.6,High
157,Somalia,6.9,7.9,6.4,6.6,8.7,9.1,8.7,9.1,10.0,8.2,10.0,2,6.4,9.5,2.6,1.9,8.5,0,8.5,9.4,9.3,9.1,9.4,9.5,9.7,9.5,9.2,7.2,6.9,7.5,7.3,Very High
158,South Africa,4.1,3.2,4.6,5.4,5.2,4.3,4.6,7.6,0.3,5.9,6.6,6,1.9,7.6,5.5,5.5,5.2,5.6,4.7,5.2,5.0,5.6,4.3,5.3,6.266666666666666,6.5,1.3,4.2,3.4,5,4.7,Medium
159,South Sudan,7.3,9.9,6.0,6.2,8.3,8.2,9.9,5.3,7.7,8.4,10.0,5.4,8.1,8.4,2.7,2.6,8.3,0,8.6,9.7,9.4,8.8,9.9,10,10,9.9,10,6.8,6.1,7.5,7.3,Very High
160,Spain,2.5,0.0,3.7,5.4,1.4,0.6,0.1,1.9,0.1,2.2,5.3,0.3,1.4,0.65,7.7,8.1,5.9,8.4,1.6,2.3,3.4,3.8,3.0,1,0.6,0,0,0.8,1.6,0,2.8,Low
161,Sri Lanka,3.4,1.2,4.5,4.5,3.3,2.6,2.4,4.4,1.0,4.0,4.5,0.4,3.0,6.6,5.5,5.3,5.6,5.6,5.1,5.0,5.9,6.2,5.5,3.9,0,8.5,0.4,5.2,5.4,5,4.3,Medium
162,Sudan,6.8,7.1,6.6,4.9,6.3,6.4,8.6,5.1,3.3,6.1,9.6,1.4,5.1,4.2,3.2,3.5,6.9,1.2,6.0,7.3,8.3,8.4,8.2,5.9,2,9.2,3.3,4.25,3.5,5,5.8,High
163,Suriname,2.5,1.9,2.8,3.7,3.0,4.1,4.9,6.2,0.2,1.8,1.3,1.1,3.0,1.8,4.3,4.0,5.1,4,4.8,5.7,6.0,5.6,6.3,5.3,6.2,7.1,1.3,3.85,2.7,5,3.5,Medium
164,Sweden,2.8,0.1,4.1,4.6,2.0,0.2,0.0,0.8,0.1,3.5,7.8,0.2,1.6,1.1,6.4,7.6,2.6,7.6,0.8,1.2,1.4,1.5,1.3,1,0.5,0,0,0.4,0.8,0,2.2,Low
165,Switzerland,3.7,0.0,5.6,3.1,1.7,0.3,0.0,1.2,0.1,2.9,6.5,0.2,1.3,1.8,4.3,8.3,3.9,2.4,0.6,1.1,1.2,1.5,0.9,0.9,1.5666666666666667,0,0.1,0,0,0,1.9,Very Low
166,Syria,2.9,1.5,3.6,5.6,7.3,7.5,6.3,7.3,10.0,7.1,10.0,0.5,5.6,7.1,3.1,4.6,6.3,0.8,6.5,7.6,8.5,8.7,8.3,6.3,7.699999999999999,9.6,0.3,5,2.5,7.5,4.7,Medium
167,Tajikistan,4.3,2.0,5.5,3.2,4.1,4.7,5.2,3.7,4.5,3.5,2.0,1.4,4.0,5.8,2.2,2.8,4.5,0.8,5.9,5.9,7.4,7.5,7.2,3.7,0.35,9.5,0.2,5.85,4.2,7.5,4.3,Medium
168,Tanzania,6.4,6.7,6.2,4.6,6.2,5.8,8.3,5.2,1.5,6.5,6.5,5.3,7.1,6.85,2.4,4.1,5.5,0,5.9,6.5,6.4,6.3,6.5,6.6,1.3333333333333333,9.8,5.8,5.15,5.3,5,5.6,High
169,Thailand,3.2,0.3,4.6,4.7,2.5,2.2,2.3,4,0.2,2.8,5.5,1.3,2.7,1,6.3,6.7,4.9,6.8,3.7,4.8,5.4,6.4,4.3,4.1,0.35,8,0.4,2.3,2.1,2.5,3.8,Medium
170,Timor-Leste,5.6,5.3,5.8,4.6,5.7,5.0,7.4,0.9,4.1,6.3,0.0,6.4,6.5,8.8,3.2,4.1,6.3,1.2,6.4,6.2,6.6,6.2,7.0,5.7,6.1000000000000005,9.8,1.6,6.55,5.6,7.5,5.5,High
171,Togo,6.8,8.0,6.2,4.3,5.3,6.3,8.4,6,2.4,4.1,3.7,5.3,4.3,3.1,3.2,4.6,7.2,0.4,6.9,6.7,7.1,7.1,7.1,6.3,1.5,9.8,4.4,7.15,6.8,7.5,5.9,High
172,Tonga,2.7,0.4,3.8,4.3,4.3,5.5,3.7,4.4,10.0,2.8,0.0,2.1,4.2,4.1,4.3,3.7,3.7,4.8,5.5,5.0,4.7,4.7,4.7,5.3,2.75,9.1,0.6,5.9,4.3,7.5,4.0,Medium
173,Trinidad and Tobago,2.6,0.7,3.6,4.5,2.1,2.1,1.7,4.3,0.7,2.1,4.4,0.8,1.6,1.2000000000000002,6.3,6.5,5.1,6.8,4.6,4.2,5.3,6,4.6,2.8,2.8333333333333335,2.8,0.7,5.05,5.1,5,3.8,Medium
174,Tunisia,3.3,1.2,4.3,3.5,1.9,2.6,3.0,3,1.5,1.1,1.2,0.3,0.4,2.3,4.9,5.4,5.5,4.4,4.5,4.7,5.5,5.7,5.2,3.8,0.25,7.4,0.5,4.2,3.4,5,3.7,Medium
175,Turkey,3.4,0.3,4.9,4.6,3.6,2.6,1.9,4.2,2.4,4.5,9.4,0.1,0.0,1.9,5.4,7.6,5.0,4.4,3.7,4.6,5.6,6.1,5.0,3.5,1.0666666666666667,6.5,0.2,2.6,2.7,2.5,3.9,Medium
176,Turkmenistan,3.1,0.1,4.6,2.4,1.5,1.5,2.3,1.5,0.0,1.5,0.0,0.3,2.0,3.2,3.2,4.5,3.4,2.4,4.9,5.5,7.6,8.1,7.1,2.3,0,6.4,0.1,4.15,3.3,5,3.3,Low
177,Tuvalu,4.8,1.0,6.7,4.8,4.9,5.1,4.6,3.5,7.7,4.7,0.0,7.2,4.2,5.5,4.6,3.2,6.0,4.6,5.8,5.6,6.4,6.4,6.4,4.7,0.65,8.1,4.7,6.05,4.6,7.5,5.1,High
178,US,2.8,0.1,4.1,4.3,1.9,0.8,0.0,3.3,0.0,2.8,7.1,0.1,0.2,1.3,6.1,7.3,3.3,6.8,1.3,2.0,2.5,3.1,1.8,1.5,0.8333333333333334,0,0.2,0.45,0.9,0,2.5,Low
179,Uganda,7.1,8.5,6.4,5.3,7.2,6.5,8.3,5.8,3.4,7.8,8.8,5.9,8.7,6.9,2.6,3.2,7.2,0,5.9,6.7,6.7,7.2,6.2,6.6,2.75,9.8,4.2,4.95,4.9,5,6.1,High
180,Ukraine,2.4,0.7,3.3,5.4,2.9,1.8,1.6,1.9,2.2,3.9,8.1,1.1,2.1,1.2,7.2,6.0,5.2,8.8,5.1,5.2,6.4,7,5.8,3.8,5.4,8.4,0.2,5,2.5,7.5,4.0,Medium
181,United Arab Emirates,4.4,0.3,6.5,2.4,1.2,0.7,0.7,1.5,0.0,1.6,3.0,0,1.5,1.6,3.4,7.3,0.8,2.8,1.3,2.3,2.5,2.9,2.1,2,0.26666666666666666,1.5,0,0.25,0.5,0,2.4,Low
182,United Kingdom,3.2,0.1,4.8,4.5,1.5,0.5,0.0,1.9,0.1,2.4,5.8,0.3,1.0,1.1,6.5,7.6,3.0,7.6,1.2,2.0,2.3,2.3,2.3,1.6,1.3,0,0.1,0.35,0.7,0,2.6,Low
183,Uruguay,2.9,0.3,4.2,3.7,1.7,1.9,1.8,3.7,0.1,1.4,3.3,0.6,1.3,0.2,5.2,5.5,3.3,6,3.0,2.7,3.4,2.9,3.9,2,0.9,3.5,0.2,3.25,1.5,5,3.2,Low
184,Uzbekistan,3.5,0.2,5.1,3.2,2.9,3.4,3.8,4,2.0,2.3,0.0,0.6,2.4,5.1,3.4,4.1,4.0,2.8,6.0,5.3,6.8,7.5,6.1,3.4,0,8.8,0.3,6.55,5.6,7.5,4.1,Medium
185,Vanuatu,4.7,5.4,4.3,4.8,5.9,6.2,7.4,3.2,6.7,5.5,0.0,3.7,1.8,9.8,3.4,1.7,5.4,3.2,6.4,5.7,5.7,5.4,6.0,5.7,2.4,9.8,0.8,7.05,6.6,7.5,5.2,High
186,Venezuela,3.2,0.7,4.4,4.2,3.9,3.4,3.5,6.1,0.6,4.4,5.0,1.2,6.1,4.4,4.4,4.7,6.4,3.2,6.4,7.3,8.3,8.4,8.2,6,6.433333333333334,7,1.4,5.4,3.3,7.5,4.4,Medium
187,Vietnam,3.7,1.4,4.8,3.6,2.5,3.4,4.5,3.4,1.1,1.6,0.0,1,2.3,2.8,4.6,5.8,4.4,4,4.2,5.1,5.7,6.3,5.0,4.5,0.9,9,0.5,3.2,3.9,2.5,3.8,Medium
188,Yemen,6.3,5.2,6.8,5.8,7.6,7.4,8.8,6.5,5.3,7.8,10.0,1.2,9.0,6.1,3.1,2.7,7.9,0.8,7.2,8.1,9.0,8.5,9.5,6.8,6.533333333333334,9.7,1.8,6.15,4.8,7.5,6.4,High
189,Zambia,6.9,7.8,6.4,5.0,6.7,6.3,7.9,7.6,1.6,7.1,5.1,7.4,9.0,5.8,2.7,2.9,6.1,0.8,6.7,6.1,6.4,6.6,6.1,5.8,2.5,9.6,2.4,7.2,6.9,7.5,6.1,High
190,Zimbabwe,4.8,6.5,3.9,5.3,6.3,5.9,7.3,5.8,3.3,6.7,4.1,6.1,9.4,4.55,4.0,3.9,7.1,2.4,6.0,7.0,7.5,7.6,7.4,6.5,2.3333333333333335,9.5,5.1,4.75,4.5,5,5.3,High
