,Country,P2P,P2P_1,P2P_2,Vul,Vul_HI,Vul_1,Vul_11,Vul_12,Vul_13,Vul_2,Vul_21,Vul_22,Vul_23,Vul_24,Vul_3/Vul_HD,Vul_31,Vul_32,Vul_33,LOCC,LOCC_HI,LOCC_1,LOCC_11,LOCC_12,LOCC_2,LOCC_22,LOCC_23,LOCC_24,LOCC_3/LOCC_HD,LOCC_31,LOCC_32,INFORM COVID-19 RISK,COVID-19 RISK CLASS
51,Egypt,3.0,0.6,4.2,4.0,3.4,3.6,4.4,3.9,1.5,3.1,6.6,0.2,0.0,3.7,4.6,5.8,6.0,3.2,4.0,5.5,6.4,6.5,6.2,4.4,0.8,8.4,0.4,2.15,1.8,2.5,3.6,Medium
52,El Salvador,3.8,0.9,5.3,4.2,3.0,4.4,5.2,4.3,2.9,1.3,0.0,1.2,2.8,1.1,5.2,6.7,6.7,3.6,4.7,5.5,6.3,6.6,5.9,4.5,2.1999999999999997,8.1,0.5,3.75,2.5,5,4.2,Medium
53,Equatorial Guinea,6.7,5.7,7.2,3.9,4.7,4.2,6.2,4.2,0.1,5.1,0.0,6.4,2.8,8.149999999999999,2.9,3.8,5.5,1.2,7.6,7.6,8.0,8.4,7.6,7.2,10,7.3,3.3,7.65,7.8,7.5,5.8,High
54,Eritrea,6.4,8.9,5.1,4.4,5.7,6.9,9.3,6.9,2.1,4.2,2.2,1.6,5.6,6.3,2.8,2.3,7.9,0.4,7.2,7.3,8.1,7.7,8.5,6.4,1.0999999999999999,10,5.3,7,6.5,7.5,5.9,High
55,Estonia,2.3,0.1,3.4,4.7,1.0,0.7,0.4,1.6,0.3,1.2,1.2,0.8,1.6,1.35,7.0,5.3,3.4,9.6,2.4,2.2,2.6,2.6,2.6,1.8,1.2,3.4,0.1,2.55,2.6,2.5,3.0,Low
56,Eswatini,4.9,5.8,4.5,5.1,4.9,5.6,6.5,7.2,2.2,4.0,2.1,4.9,5.8,2.4,5.3,3.7,6.1,5.6,5.8,6.2,6.5,6.6,6.3,5.8,1.7333333333333334,7.9,4.9,5.4,5.8,5,5.3,High
57,Ethiopia,7.6,9.7,6.5,4.7,6.4,6.7,9.4,5.2,2.8,6.1,8.2,3.1,5.6,6.05,2.5,3.6,6.3,0,5.8,6.8,6.3,6.3,6.2,7.3,4.85,9.9,4.5,4.6,4.2,5,5.9,High
58,Fiji,3.3,0.8,4.5,4.3,3.3,3.4,3.5,3.9,2.5,3.1,0.0,3.7,1.6,5.9,5.1,5.0,1.9,6.8,5.0,4.4,4.5,4.5,4.5,4.3,0.26666666666666666,9.1,0.4,5.6,3.7,7.5,4.1,Medium
59,Finland,2.3,0.1,3.4,4.8,1.1,0.2,0.0,0.6,0.1,2.0,4.7,0.1,1.2,1.4500000000000002,7.1,7.5,2.4,9.2,0.8,1.2,1.2,1.4,1.0,1.1,1.7666666666666666,0,0,0.3,0.6,0,2.1,Low
60,France,2.8,0.1,4.2,4.9,1.8,0.5,0.2,1.3,0.2,2.9,7.1,0.3,0.8,0.8,7.0,7.5,5.3,7.6,2.0,1.8,2.6,3.1,2.0,0.9,1.6333333333333335,0,0.1,2.15,1.8,2.5,3.0,Low
61,Gabon,5.0,4.1,5.5,3.7,4.5,4.3,5.5,5.2,0.8,4.6,1.3,6.3,2.8,6.550000000000001,2.7,1.7,5.8,1.6,6.6,6.4,6.8,6.9,6.6,6,4.1,8.3,2.8,6.75,6,7.5,5.0,High
62,Gambia,6.9,6.6,7.0,3.9,5.4,7.1,8.9,5.5,5.0,3.1,2.9,2.3,2.9,4.3,2.1,3.4,5.1,0,6.9,6.7,6.3,6.3,6.2,7.1,2.6666666666666665,9.9,6.6,7,6.5,7.5,5.7,High
63,Georgia,3.1,0.7,4.3,5.3,3.7,2.9,2.3,4,3.0,4.4,8.7,1,2.8,1,6.6,6.1,4.3,8,4.0,3.7,4.1,4.4,3.8,3.3,2.033333333333333,7.5,0.3,4.2,3.4,5,4.0,Medium
64,Germany,2.2,0.1,3.3,5.6,2.1,0.4,0.0,1.4,0.1,3.6,8.2,0.1,0.8,1.65,7.8,8.7,4.1,9.2,0.8,1.2,1.9,2,1.8,0.4,1.4000000000000001,0,0.1,0.45,0.9,0,2.1,Low
65,Ghana,5.5,6.0,5.3,3.5,4.4,5.3,7.1,5.9,1.2,3.4,3.5,4.7,1.1,3.75,2.5,3.7,4.8,0.8,5.5,5.8,5.7,5.9,5.4,5.8,0.9,9.5,3.4,5.15,5.3,5,4.7,Medium
66,Greece,2.2,0.1,3.3,5.6,2.1,1.5,0.6,2.2,2.5,2.7,6.6,0.2,1.1,0.8500000000000001,7.7,7.7,5.6,8.8,2.9,3.3,4.8,5.2,4.3,1.5,1.0666666666666667,2.5,0,2.5,2.5,2.5,3.3,Low
67,Grenada,2.7,0.8,3.6,3.7,2.3,2.2,2.7,2.2,1.2,2.4,0.0,0.1,5.7,2.4,4.8,5.8,3.9,4.8,4.8,4.5,5.1,4.7,5.5,3.9,1.95,7.6,0.3,5,5,5,3.6,Medium
68,Guatemala,4.6,2.4,5.7,4.1,4.6,5.4,6.7,6.2,1.9,3.8,7.0,1.1,4.0,1.55,3.6,3.9,7.2,1.6,5.9,6.2,6.9,7.4,6.4,5.4,2.8333333333333335,8.6,1.1,5.65,3.8,7.5,4.8,Medium
69,Guinea,6.9,7.8,6.5,4.7,6.1,5.5,9.1,2.2,1.5,6.7,2.7,5.4,4.0,10,2.9,3.9,7.7,0,6.7,8.0,7.0,7.1,6.9,8.8,9.2,9.8,6.4,4.75,4.5,5,6.0,High
70,Guinea-Bissau,7.0,7.9,6.5,4.7,6.4,7.1,9.2,6.4,3.6,5.5,3.2,5.6,7.2,5.2,2.3,1.4,7.1,0.4,7.2,7.6,8.1,8.2,8.0,7.1,2,9.8,7.4,6.75,6,7.5,6.2,High
71,Guyana,2.4,1.5,2.9,3.9,3.6,4.4,4.5,6.6,2.1,2.6,0.8,4,2.6,2.6,4.1,2.9,6.2,3.6,5.2,5.4,5.8,6,5.5,4.9,0.5333333333333333,9,1.9,5,5,5,3.7,Medium
72,Haiti,6.8,6.9,6.7,5.6,6.9,7.5,8.2,6.2,7.4,6.1,4.7,3.3,9.0,5.1,3.9,3.8,7.8,2,7.7,8.4,8.5,8.2,8.8,8.2,8.3,9.8,5.3,6.8,6.1,7.5,6.6,Very High
73,Honduras,4.3,1.5,5.7,4.1,4.8,5.7,6.4,6.4,3.4,3.8,7.1,1.1,3.4,1.8499999999999999,3.3,4.0,6.0,1.6,6.5,5.9,6.8,7.4,6.2,4.8,0.3,8.8,0.7,7.05,6.6,7.5,4.9,Medium
74,Hungary,2.4,0.1,3.5,5.4,1.4,1.3,1.1,2.4,0.5,1.5,2.8,0.1,1.6,1.3,7.7,6.8,4.9,9.6,3.1,3.2,4.8,5.6,4.0,1.3,0,3.5,0.1,2.9,3.3,2.5,3.4,Low
75,Iceland,3.8,0.1,5.7,3.6,0.7,0.2,0.0,0.8,0.1,1.1,2.2,0.1,0.9,1.1,5.7,5.3,4.7,6.4,1.3,1.7,2.2,2.2,2.1,1.1,1.4333333333333333,0,0,0.8,1.6,0,2.6,Low
76,India,4.7,3.2,5.4,4.5,4.5,4.6,6.6,4.7,0.4,4.3,6.1,2.2,4.4,3.75,4.5,5.6,5.3,3.6,4.6,5.4,5.2,5.9,4.4,5.6,2.8,9.4,1.6,3.75,2.5,5,4.6,Medium
77,Indonesia,4.4,2.8,5.2,3.9,3.4,3.6,4.7,4.7,0.2,3.2,3.4,2.7,2.2,4.2,4.4,6.1,4.3,3.6,5.1,5.7,5.3,6,4.6,6.1,4.75,8.9,2,4.35,3.7,5,4.4,Medium
78,Iran,3.6,1.1,4.8,3.7,3.1,2.4,2.1,5.2,0.1,3.8,8.0,0.1,1.3,2.5,4.2,5.1,5.1,3.2,3.8,5.2,6.7,7.4,5.9,3.2,0.1,4.9,0.2,2,1.5,2.5,3.7,Medium
